omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.5,0.125,15,23,1.5,17,200,0.755,0.40261269807815553
0.5,0.125,15,27,1.75,17,200,0.83,0.7583833587169647
0.5,0.125,15,30,2.0,17,200,0.88,1.0420576310157776
0.5,0.125,15,34,2.25,17,200,0.895,1.390404840707779
0.5,0.125,15,38,2.5,17,200,0.86,1.7702830588817597
0.5,0.125,15,42,2.75,17,200,0.885,2.1563991367816926
0.5,0.125,15,45,3.0,17,200,0.86,2.5540193450450897
0.5,0.125,16,16,1.0,17,200,0.12,0.030295108556747437
0.5,0.125,16,20,1.25,17,200,0.455,0.31209191799163816
0.5,0.125,16,24,1.5,17,200,0.71,0.6862062990665436
0.5,0.125,16,28,1.75,17,200,0.82,1.163569827079773
0.5,0.125,16,32,2.0,17,200,0.8,1.6677844262123107
0.5,0.125,16,36,2.25,17,200,0.825,2.1822965133190153
0.5,0.125,16,40,2.5,17,200,0.84,2.693546894788742
0.5,0.125,16,44,2.75,17,200,0.825,3.4251670384407045
0.5,0.125,16,48,3.0,17,200,0.84,4.185678100585937
0.5,0.25,4,4,1.0,17,200,0.27,0.0004032027721405029
0.5,0.25,4,5,1.25,17,200,0.575,0.001122838258743286
0.5,0.25,4,6,1.5,17,200,0.865,0.0023748779296875
0.5,0.25,4,7,1.75,17,200,0.97,0.004404637813568115
0.5,0.25,4,8,2.0,17,200,0.99,0.007231353521347046
0.5,0.25,4,9,2.25,17,200,1.0,0.011128878593444825
0.5,0.25,4,10,2.5,17,200,1.0,0.016371084451675413
0.5,0.25,4,11,2.75,17,200,1.0,0.02372596859931946
0.5,0.25,4,12,3.0,17,200,1.0,0.03151663422584534
0.5,0.25,5,5,1.0,17,200,0.23,0.000549851655960083
0.5,0.25,5,7,1.25,17,200,0.755,0.0036701977252960203
0.5,0.25,5,8,1.5,17,200,0.895,0.0064897692203521725
0.5,0.25,5,9,1.75,17,200,0.985,0.010617064237594604
0.5,0.25,5,10,2.0,17,200,0.995,0.016663907766342162
0.5,0.25,5,12,2.25,17,200,1.0,0.0334890604019165
0.5,0.25,5,13,2.5,17,200,1.0,0.04477349519729614
0.5,0.25,5,14,2.75,17,200,1.0,0.05749211311340332
0.5,0.25,5,15,3.0,17,200,1.0,0.07208749175071716
0.5,0.25,6,6,1.0,17,200,0.205,0.0007865691184997559
0.5,0.25,6,8,1.25,17,200,0.62,0.005472171306610108
0.5,0.25,6,9,1.5,17,200,0.85,0.00956049919128418
0.5,0.25,6,11,1.75,17,200,0.99,0.02368914246559143
0.5,0.25,6,12,2.0,17,200,1.0,0.03485964775085449
0.5,0.25,6,14,2.25,17,200,1.0,0.06143963813781738
0.5,0.25,6,15,2.5,17,200,1.0,0.07915045142173767
0.5,0.25,6,17,2.75,17,200,1.0,0.11626497387886048
0.5,0.25,6,18,3.0,17,200,1.0,0.14113835334777833
0.5,0.25,7,7,1.0,17,200,0.165,0.0011241769790649415
0.5,0.25,7,9,1.25,17,200,0.55,0.008822753429412841
0.5,0.25,7,11,1.5,17,200,0.885,0.022890695333480836
0.5,0.25,7,13,1.75,17,200,0.985,0.04636180639266968
0.5,0.25,7,14,2.0,17,200,0.995,0.06318755865097046
0.5,0.25,7,16,2.25,17,200,0.995,0.10472725987434388
0.5,0.25,7,18,2.5,17,200,1.0,0.17218836784362793
0.5,0.25,7,20,2.75,17,200,0.995,0.21297858119010926
0.5,0.25,7,21,3.0,17,200,1.0,0.2413948380947113
0.5,0.25,8,8,1.0,17,200,0.135,0.0014543986320495605
0.5,0.25,8,10,1.25,17,200,0.41,0.01138484001159668
0.5,0.25,8,12,1.5,17,200,0.83,0.03034631609916687
0.5,0.25,8,14,1.75,17,200,0.96,0.06107353687286377
0.5,0.25,8,16,2.0,17,200,0.98,0.10300557374954224
0.5,0.25,8,18,2.25,17,200,0.995,0.15648802518844604
0.5,0.25,8,20,2.5,17,200,0.995,0.22463378548622132
0.5,0.25,8,22,2.75,17,200,0.995,0.3034073603153229
0.5,0.25,8,24,3.0,17,200,0.99,0.3897250247001648
0.5,0.25,9,9,1.0,17,200,0.055,0.0019533240795135496
0.5,0.25,9,12,1.25,17,200,0.51,0.025561776161193848
0.5,0.25,9,14,1.5,17,200,0.845,0.05854816794395447
